['[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, -3.6487905351095606e-10, 0.4999999995860789, 0.5000000007788001]', '[0.0, 0.0, 0.4999999991721579, 0.500000000827842]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.0, 2.05645001985191e-06, 0.4999999995860789, 0.4999979439639013]', '[1.1030828912023735e-06, 0.0, 0.4999988973310299, 0.4999999995860789]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[3.083962257658182e-17, 7.295437207122113e-07, 0.5000000004139209, 0.49999927004235817]', '[1.0526063473841825e-06, 0.0, 0.49999894697973146, 0.5000000004139211]', '[0.0, 0.0, 0.5000000004139211, 0.4999999995860789]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.0, 1.172480979971368e-06, 0.4999999995860789, 0.4999988279329412]', '[1.1724801706192167e-06, 0.0, 0.4999988283476716, 0.4999999991721577]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 4.342484096634729e-06, 0.9999956575159035]']
['[8.677852544620307e-19, 1.1724809800572364e-06, 0.4999999995860789, 0.49999882793294104]', '[2.398252674301067e-06, 0.0, 0.49999760257516795, 0.4999999991721577]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 1.1724809800871608e-06, 0.4999999991721577, 0.49999882834686216]', '[0.0, 0.0, 1.202527326652504e-05, 0.9999879747267335]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[9.868653813517765e-17, 1.1724809800581524e-06, 0.49999999958607877, 0.49999882793294104]', '[3.4161424616874214e-07, 0.0, 0.0, 0.9999996583857538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 1.1724809799594657e-06, 0.4999999995860789, 0.49999882793294115]', '[0.0, 1.0761949997828424e-08, 0.0, 0.99999998923805]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[1.1724794135212952e-06, 0.0, 0.49999882834842874, 0.4999999991721577]', '[0.0, 1.0761950330895331e-08, 0.0, 0.9999999892380497]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 4.7965044090775695e-06, 0.500000000827842, 0.49999520266774883]', '[0.0, 1.0761950330895331e-08, 0.0, 0.9999999892380497]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 1.1724809798607794e-06, 0.5000000004139211, 0.499998827105099]', '[0.0, 1.0761949775783819e-08, 0.0, 0.9999999892380502]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4999999983443157, 0.0, 8.278422392038465e-10, 0.500000000827842]', '[0.0, 1.0761949664761516e-08, 0.0, 0.9999999892380503]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.49999999999999983, 1.1102230246251565e-16, -7.394547835053885e-10, 0.5000000007394548]', '[0.0, 1.0761949442716912e-08, 0.0, 0.9999999892380506]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.5, 0.0, -7.696980457781552e-10, 0.5000000007696981]', '[0.0, 1.0761949886806121e-08, 0.0, 0.9999999892380501]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.5, 0.0, -7.738076563002686e-10, 0.5000000007738077]', '[0.0, 8.746241498948216e-07, 0.0, 0.9999991253758502]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.5, 0.0, -7.772112828842967e-10, 0.5000000007772113]', '[0.0, 1.0761949553739214e-08, 0.0, 0.9999999892380504]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
