['[0.01, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[0.0, 0.0, 0.4999999991721577, 0.5000000008278422]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[0.0, 0.0, 0.4999999991721577, 0.5000000008278422]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[1.0526063473783128e-06, 0.0, 0.4999989469797341, 0.5000000004139185]', '[0.0, 0.0, 0.5000000004139211, 0.4999999995860789]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[2.398251981783339e-06, 0.0, 0.49999760257586046, 0.4999999991721577]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[1.172480980082824e-06, 0.0, 0.4999988271051, 0.5000000004139199]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[3.285213709292023e-06, 0.0, 0.0, 0.9999967147862907]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.01, 0.010000000000000005, 0.48999999963574886, 0.4900000003642511]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.01, 0.01, 0.4899999996357489, 0.49000000036425106]', '[8.278422392038465e-10, 0.0, -8.087710276561903e-10, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.010000000000000009, 0.010000000000000009, 0.4899999996357489, 0.49000000036425106]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4899999992714978, 0.010000000000000009, 0.010000000728502205, 0.49]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.48999999999999994, 0.009999999271497811, 0.010000000000000009, 0.4900000007285022]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4899999992714978, 0.01, 0.01, 0.4900000007285022]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.48999999999999994, 0.009999999271497811, 0.010000000000000009, 0.4900000007285022]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4899999996357489, 0.010000000000000009, 0.01, 0.49000000036425106]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.010000000000000009, 0.97, 0.01, 0.010000000000000009]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
