['[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.0, 0.0, 0.4999999991721577, 0.5000000008278422]', '[0.0, 0.0, 0.49999999917215754, 0.5000000008278425]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.0, 1.1881711227987548e-06, 0.5000000008278427, 0.49999881100103455]', '[0.0, 0.0, 0.49999999917215754, 0.5000000008278425]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.0, 1.0552229842213069e-05, 0.4999999995860789, 0.4999894481840789]', '[1.172480980082824e-06, 0.0, 0.49999882793294104, 0.4999999995860789]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.0, 1.078469709176803e-05, 0.5000000008278421, 0.4999892144750659]', '[0.0, 0.0, 0.4999995921639985, 0.5000004078360015]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[4.090830322059369e-17, 1.0818289897462918e-05, 0.49999999917215765, 0.4999891825379449]', '[1.972053696290829e-05, 0.0, 0.499980279463037, 0.5000000000000001]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 2.0924536248935917e-05, 0.5000000008278421, 0.49997907463590907]', '[0.0, 0.0, 1.2025273267511671e-05, 0.9999879738988903]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 1.5686782986293794e-05, 0.5000000008278422, 0.49998431238917146]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 2.0925364086696593e-05, 0.4999999999999999, 0.4999790746359134]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 7.418287266516275e-06, 0.4999999995860788, 0.4999925821266546]', '[0.0, 2.2924861650219736e-09, 2.2924861814110313e-09, 0.9999999954150276]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 1.5686782986254936e-05, 0.5000000008278424, 0.4999843123891715]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
